"alphaW","Original.Est_B001","Original.Est_B002","Original.Est_B003","Original.Est_B004","Original.Est_B005","Original.Est_B006","Original.Est_B007","Original.Est_B008","Original.Est_B009","Original.Est_B010","Original.Est_B011","Original.SE_B001","Original.SE_B002","Original.SE_B003","Original.SE_B004","Original.SE_B005","Original.SE_B006","Original.SE_B007","Original.SE_B008","Original.SE_B009","Original.SE_B010","Original.SE_B011"
0.42,-1.63615280659765,-1.83793464999334,-1.62610523123891,-1.82202008898984,-1.92919404728644,-1.67836155230901,-2.01578503859414,-1.63110778102841,-1.85500049189733,-1.99608056306066,-1.80002876834868,0.419984184489841,0.35329691608962,0.411347602721629,0.35415122180052,0.339873113253262,0.361203200009677,0.34431284387064,0.366992961763391,0.34220760740969,0.337858732659284,0.349267473425446
0.43,-1.73107102275635,-1.76072308637693,-1.73347071887496,-1.51026736143742,-1.99783435508024,-1.54667420360661,-1.80385410835057,-1.74078024684768,-1.73682253750146,-1.75938540095956,-1.48903439017505,0.453912113659568,0.452893125210485,0.353482797459335,0.3610262463307,0.375883533270044,0.35635367426586,0.357132274161417,0.454470330606664,0.386327605906217,0.347055340829947,0.408205010004544
0.44,-1.69513496846949,-1.78502431239051,-1.69843274818777,-1.7787956704138,-1.69170533963709,-1.54970089706349,-1.460618666101,-1.69618197259369,-1.56333665406238,-1.58852673687526,-1.87089038926743,0.352213188176908,0.353271652075728,0.353027023264491,0.352349228926279,0.358822839120299,0.364629741126254,0.342946793975643,0.352626259053624,0.3918177886183,0.411885726324597,0.357556498259503
0.45,-2.07616145317092,-1.70656356382139,-1.69453922171334,-1.45359499356686,-1.48501393351874,-1.7295408380945,-1.63858179225994,-1.75151899161527,-1.66351995104341,-1.68612532388103,-1.58450761583503,0.282926222777312,0.37594766680223,0.368096253645007,0.352560789699361,0.362558516023785,0.354655722724734,0.352867799644346,0.361018492312044,0.351925514262388,0.346871562731255,0.349824945673015
0.46,-1.40399813628236,-1.87169720203825,-2.17309631921992,-1.38400320155644,-1.62026567353777,-1.6200413166757,-1.39518918127774,-1.62032920897122,-1.39043480486794,-1.50541915788849,-1.45113840999529,0.375158139522896,0.331618166270659,0.358271242342278,0.379408074835232,0.354862007432139,0.354876366931806,0.380698107417094,0.354857126051132,0.375479728017305,0.361912928081482,0.375993409045309
0.47,-1.70362086163319,-1.56517379117022,-1.78530326110948,-1.76890327118078,-2.00568830036991,-1.69637837062374,-1.68521104167437,-1.69657427869186,-1.93026194973274,-2.08142228797773,-1.69501333779341,0.378984533569108,0.39519653235359,0.33220161526496,0.343284238944678,0.330182474437249,0.385190713265703,0.382849335704152,0.383757211075321,0.335012090056793,0.333246316176218,0.385975390406189
0.48,-1.66626687707388,-1.71196417216263,-1.5051781374465,-1.69075227674451,-1.6428971423097,-1.68026181682968,-1.64533004212379,-1.6475538740272,-2.01789890927583,-1.59418320972373,-1.71858842444662,0.347635631480241,0.353328385792309,0.352027568669922,0.351297463218348,0.352604465716417,0.347150560733427,0.347266410237791,0.353378170030927,0.361368815537952,0.357631915357977,0.360934800695028
0.49,-1.68099413679911,-1.52648427894224,-1.48489247302538,-1.5359514279136,-1.66439472454491,-1.59496269359002,-1.57209419004071,-1.72449799950982,-1.58984713512011,-1.62079417583106,-1.61118339823322,0.343429082837417,0.345399032093913,0.340469677758468,0.35505956984286,0.348951869961375,0.349169813012399,0.345975210724872,0.342225240898235,0.347437644804219,0.413196925251643,0.343427717600076
0.5,-1.53163425394368,-1.55558428367785,-1.6537912476259,-1.65752283332195,-1.69100615955197,-1.57468669645503,-1.53138646189615,-1.71482779896501,-1.7347703645538,-1.73872120478713,-1.62329744236556,0.353316679149134,0.348385467217583,0.358645338682799,0.350597955377629,0.34308457535101,0.35946060465282,0.353305615440662,0.342988417008402,0.339484541069628,0.33916751100478,0.343407451560996
0.51,-1.62354511291062,-1.50307183239496,-1.66589753765517,-1.62463339278518,-1.49465271108773,-1.62736910054737,-1.50120968740914,-1.7060236577298,-1.60526562759676,-1.57720189692336,-1.60310334768393,0.346963416206745,0.350534212562323,0.346612400543226,0.34727916515519,0.359074997299371,0.34559487425228,0.344989025379793,0.359746918306805,0.37087208636487,0.342468275251197,0.350069173519134
